victim
Abayan, Alfredo Lumagbas
Abendano, Henry Lewis Bisda
Aboganda, Eduardo Abina
Aboganda, Ildifonzo Abina
Abueg, Nicanor Samson
Acierto, Alberto Tayan
Adina, Leonardo Colico
Aglangao, Mariano Punsalan
Aguirre, Rene Zurbito
Alegria, Isabelo Gonzales
Ambucay, Inocencio Vallejo
Amilhasan, Abubakar Amba
Andal, Ervin Concha
Anievas, Nestor Diaz
Aparis, Joseph Ostrera
Aparri  Jr., Flaviano  Duria
Aquino, Jeremias Ancheta
Arapol, Orlando Cabreros
Arceo, Roberto Mirasol
Asis, Capistrano Sabado
Ataca, Jeronie Seraspe
Ataca, Melvin Seraspe
Atunay, Dominga Agad
Baclayon, Constancio Ladeza
Baes, Aloysius Ureta
Baez, Marcelino Escamillas
Bagnol, Margarito Samontina
Bajenting , Rolando Ulan Ulan
Barbacena, Salustiano Belga
Barbcena, Ricardo Baratchina
Barid, Marcelino Pablo
Bawalan, Valentine Cawat
Borbe Jr., Fidel Ordiz
Borja, Conrado Antonio
Briones , Rodel Eulalio
Buyco, Felipe Tan
Cabangon, Elso Ursolino
Camagay, Juanito Ganungan
Canaman, Ruperto Amoyot
Cañas, Dennis Calagcarin
Candia , Fernando Alejo
Capili, Santiago Comvento
Caraga Jr., Lucas Irasga
Ceriaca, Guillermo Elaga
Collera, Ronilo Narzolez
Coronel, Nemesio Lumawag
Dacallos, Sabino Solayao
Dacullo, Marcelo Diacor
Dadural, Benjamin Monta
Dadural, Igmidio Monta
Dalimot, Amor Manzano
Dalupang, Felisa  Cristobal
Damalerio, Alberto Namocatcat
Damdas, Cirilo Empis
De Leon, Luis Dela Peña
De Leon, Ma Carolina Teodoro
Del Rosario, Felicito Bernardo
Del Rosario, Teresita Fajardo
Dela Peña, Lodegario Beatencila
Desoyo Jr., Paquito Torreblanca
Domasig, Roman Federio
Domingsil, Bessie Edralin
Duran, Dexter Portugal
Duran, Rogelio Alayo
Enriquez, Eliseo Pineda
Españo, Jose Olores
Espanola, Joel Subiate
Esperas, Serapio Dula
Espinas, Milagros Ragos
Feolino, Roque Funelas
Fuentes, Julieto Grapa
Gache , Elias  Freo
Gaje, Juanito Locsin
Garcia, Jose Buban
Garcia, Jose Trece Olores
Garcia, Juan Garcia
Garcia, Pio Olores
Garcia, Romulo Bartolome
Garzon, Elido Estoconing
Gecale, Helberto Relacion
Gonzaga, Julieta Jalipa
Haloc, Eduardo De Los Santos
Hamoc, Edwin Andalat
Hebres, Melchor Benzon
Hefervez, Virgilio Cueme
Iglesia, Ruperto Par
Igsoc, Filmore Sabado
Ison, Felipe Gaila
Isuga , Jose Narciso
Jabulin, Frudencio Picaña
Jumao As, Oscar Cañete
Labao, Roger Andalat
Lacbao, Ernesto Dog Ah
Lacbayo, Estiban Antido
Laguerta, Felino Macasadia
Lalangan, Vivencio Cagbabanua
Lepura, Jorge Mijares
Libangan, Gerry Cammagay
Libangan, Magdalena Cammagay
Lopez, Ireneo Billones
Lopez, Jesus Topico
Lu, Alvin Omaña
Luis, Agripina Macalalad
Lumagbas, Pablito Baula
Mabanan, Rufino Cabangunay
Madagat, Wancy Eyas
Maga Jr., Zosimo Ongcal
Malinog, Melchor Balod
Mama, Nasrollah Pendatun
Martin, Crispiniano Valiente
Martinez, Teresito Alontaga
Matela , Santiago  Varela
Mayao, Mido Tam
Mendoza, Democrito Osera
Mendoza, Reynaldo Caraang
Miguel, Manuel Naluz
Milagrosa, Fernando Lauron
Mirafuentes, Concordio Escorial
Mondejar Jr., Hermogenes Matabilla
Morada, Rolando Toloza
Moslares, Jaime Ortenes
Naag, Pastor Alcantara
Nablo, Emilio Pacayra
Nabong, Richard Dasillo
Ocampo, Felix Guzman
Ojano, Pedro Orpiada
Olido, Tony Resureccion
Oranza, Pedrito Prado
Ordoñez, Ernesto Gamab
Paclibar, Manuel Roscal
Pajarillo, Rufino Ritumalta
Palermo, Gilacio Urbata
Panday, Jeodito Santinor
Pardalis, Hele Nita Onrubia
Pasigay, Dionisio Padayao
Patawaran, Jose Gamboa
Perez, Mary Jean Justiniani
Pielago, Fernandez George
Pimentel, Mariano Javier
Pimentel, Oscar Aping
Pomarejos, Buencamino Oblino
Puyos, Crispin Adolfo
Quadrado, Felix Salang
Quebec, Epifanio Oboguin
Quimno, Rodrigo Camado
Ramil, Raymundo Villacorta
Raza, Manuel Bingayen
Requilme Jr., Isidro Calunsag
Ricarze, Aida Mirasol
Robles, Orencio Osico
Sabornay, Vicente De Asis
Saison, Bonifacio Castillo
Saison, Charlito Erfe
Saison, Jose Jardeleza
Sales, Romeo Mirafuentes
Salilid, Calixto Malandog
Sampang, Florante Lobo
Sausi, Nonito Cortejo
Sereño, Carmelito Siano
Simpao, Nestor Cardinez
Solano, Crile Bermudez
Sumodlayon, Ponciano Sacoso
Tio Sr., Bonifacio Soliman
Torno, Romeo Bernal
Trani , Edgar  Paguia
Traspe Jr., Isidro Bacena
Tribunalo, Roberto España
Tugado, Roberto Toledo
Tulalian, Rebecca Delos Reyes
Turqueza, Alberto Balbin
Undong, Esmael Nor
Ureta, Cesar Rey
Urgada Jr., Andres Sarigumba
Uriarte, Lope Duero
Valeña, Rodolfo Puller
Velez, Jose Mari Uhler
Vicente, Delfin Atas
Villaran, Paulo Lirazan
Villasin, Reynato Terencio
Viñas Jr., Ruperto Narez
Yorong, Lalaine Blanco
Zamora, Edwin Luna
