victim
Abad, Francis Dela Cerna
Abaigar, Maximo Abadiano
Abaincia, Jovencio Mabag
Abaño, Raymundo Mecarandayo
Abao, Primo Allam
Abapo, Alfonzo Galila
Abarracoso, Rufo Mabao
Abatayo, Porceso De Lima
Abaya Jr., Doroteo Cubacub
Abaya, Felix Cubacub
Abayon, Erline Adaro
Abayon, Heracles Gambong
Abbang, Federico Mojeno
Abcede, Rogelio Nilooban
Abella, Reynaldo Briones
Aberca, Rogelio Claveria
Abreu, Lualhati Milan
Abreu, Magtanggol Milan
Abrew, Errol Liquicia
Acaba, Floro Abbang
Acacio, Amador Agcaoili
Acasio, Domingo Aves
Acaso, Domingo Cantos
Acebedo Jr., Norberto Hermoso
Acervo, Ruben Aguirre
Acevedo, Jenny Fernandez
Achapero Jr., Maximo Bendejo
Acido, Merlo Aguedo
Acogido, Carlos Casila
Acosta, Santiago Gelera
Acuram, Susana Nalam
Adelantado, Eugenia Depalco
Adorable , Guillermo Sacatin
Adriano Jr., Feliciano Manalo
Adviento, Alfredo Abarientos
Afable, Joseroy Alejo
Agarpao, Rely Estabillo
Agcaoili, Fidel Villaseñor
Aglosolos , Emily Dopan
Agnote, Bonifacio Lita
Agohot, Ponciano Taray
Aguhob, Carlo Lanticse
Aguilar, Edwin Castillo
Aguilar, Mila Deysolong
Aguilar, Rodolfo Galido
Aguirre, Nieves Villamor
Ahon, Efren Rivas
Alaman , Leonida  Rambo
Alano  Jr., Pedro  Olarte
Alba Jr., Osias Dela Gente
Alba, Ernesto Bentoy
Albarando, Romeo Sareno
Albinda, Tolentino Castro
Albofera, Alexander Escorial
Alcala, Ernesto Relova
Alcantara, Gonzalo Lauron
Alcueno, Cabatlao Rubanon
Aldea, Claro Jubilo
Alerta, Noel Almirante
Alforque, Benjamin Escosura
Allego, Hersam Arnado
Allego, Renieboy Arnado
Almazan, Cholito Quintos
Alovera Jr., Antonio Badoles
Altea, Job Altura
Alvaran, Siegfredo Maligalig
Alvarez, Armando Quinto
Alvero Jr., Godofredo Almendras
Amalejo, Avelino Porras
Amalejo, Rita Baliguat
Amante, Abundio Lim
Amboang, Luis Tande
Amores, Roberto Resurreccion
Amparo, Domiciano De Chavez
Ampe, Evelyn Cartegena
Ampeloquio , Eladia  Dela Cruz
Ampo, Gaspar Nadao
Anacita, Cesar Cartel
Anajao, Roberto Daddon
Anayatin, Dong Kabigao
Ancajas, Edna Ubas
Andal, Avelino Lontoc
Andrada, Fernando Tagudan
Andraje, Nestor Casero
Angcajas, Ranilo Ubas
Angcajas, Rita Espera
Angcajas, Rolando Ubas
Animas, Casimiro Nollora
Animos Jr., Isidoro Lobrigo
Anquilo, Octavio Lazaro
Ansad, Leopoldo Andao
Antes, Veronico Don
Antiola, Lilibeth Ancheta
Antofina, Benedicto Corral
Antojado, Ernesto Barquilla
Antojado, Juanito Langgedo
Antojado, Leopoldo Languido
Apit, Alejandro Witara
Apura, Rosario Leocadio
Aquino, Bernadette Delos Trinos
Aquino, Cesar Deves
Aquino, Pablo Muñoz
Aragat, Cader Mohamad
Aragon, Jimmy Capuyan
Araneta, Lydia Susan Gorrez
Araneta, Marciano Tiangha
Araneta, Maria Concepcion Divinagracia
Araullo, Maria Carolina Pagaduan
Arellano , Flora Corpus
Arevalo, Felipe Ileto
Aribara, Marcelito Doctor
Arienda, Edward Gonzales
Arienda, Rogelio Vilela
Ariston , Gregorio  Benzon
Armada, Gaudencio Andraje
Armenion, Rogelio Bedran
Arnaiz, Corie Donghao
Arnejo, Nathaniel Butac
Artagame, Leonilo Alberto
Artajo, Rothelo Panlaan
Artuz Jr., Pedro Villarias
Asis, Brian Dy
Aspirin Jr., Ciriaco Pico
Asucena, Esmundo Anguluan
Asucena, Melecio Palattao
Asuncion, Modesto Quintas
Atamosa, Edgar Canoog
Aurelio, Nelia Delatado
Avendaño, Mario Pagtalunan
Aviso, Jesus Nieva
Awid, Pedro Tantog
Ayangao, Robert Ganagan
Aycocho, Ruben Maravilla
Aydinan, Abrino Lapitan
Azucena, Arthur Andoyan
Azucena, Edward Andoyan
Babatla, Vivencio Dacola
Babol, Regino Biñas
Bacat, Jesus Peñamante
Bachicha, Clara Pomida
Bacsal Jr., Domingo Daclag
Badelles Jr., Norberto Jayo
Badelles, Maria Lourdes Alacala
Badenas, Esteban Zartiga
Baez, Ernesto Escamillas
Baffrey, Doris Nuval
Bagas, Artemio Ditalo
Bagsingit, Leopoldo Dario
Bahalla Jr., Francisco Ladroma
Bahibag, Ernesto Villacora
Bahibag, Rolando Villacora
Bajen, Reynaldo Verin
Bajo, Rolando Olaivar
Balanza, Marcelino Santosidad
Balbaboco, Alberto Ciego
Balbuena, Hilario Duran
Balderama, Julieto Alvarez
Balindong, Alai Sarip
Baliquia, Dominador Herbon
Balistoy, Ruben Daguman
Ballesteros, Mario Lagman
Balmes, Juanito Mendoza
Balualua, William Mabini
Bañaga, Romeo Pineda
Bañar, Rogelio Gabiana
Bancale, Jacinto Almadin
Banguran, Virgilio Arnaiz
Banoy, Bernardo Longyapon
Bansag, Federico Jubay
Bante, Reynaldo Flores
Bantigue, Celedonio Bueno
Bantillan, Antonio Jose Bincoy
Banzuela, Eduardo Belen
Barbarose, Benedicto Mahidlawon
Barcena, Jonathan Bantilan
Barona, Merelyn Baylosis
Barrameda, Emilio Botor
Barrios, Rogelio Villagracia
Bartolome Jr., Jose Dalisay
Bartolome, Edgar Cabarong
Bartolome, Federico Simon
Bartolome, Flaviano Geronimo
Bartolome, Lorenzo Geronimo
Bartolome, Serapio Simon
