victim
Abe, Gerry Caballero
Abellare, Joel Abella
Abina, Roberto Batnia
Abrazado, Alfonso Pormalejo
Agena, Wilhelm Montilla
Aguado, Dionisio Lumibao
Aguilar, Cipriano Caberto
Agustin, Andres Tamayo
Almanon Jr., Moises Lontiong
Alonzo, Santiago Pacson
Alvarez, Dionisio Garalde
Amistoso, Alfredo Fernandez
Ampe Jr., Eustaquio Eboy
Ampi, Cesar Eboy
Antonio, Marichu Colet
Aquino, Alberto Dela Cruz
Arellano, Alberto Lansang
Arellano, Ernesto Rillera
Arenas, Jaime Batulan
Arevalo, David Patrick Cura
Arevalo, George Cura
Armea, Oscar Rellora
Arnejo, Virginia Barimbao
Bagamasbad, Nelson De Guzman
Bajas, Miguelito Colinayo
Baldonado, Myrla Bangalan
Baluyot, Allan Durian
Baluyot, Wilfredo Katipunan
Banzon, Siegfredo Andal
Barbo, Lutgardo Boco
Barro Jr., Victorico Balidoy
Bayle, Romeo Lucas
Baylosis, Rafael De Guzman
Belgica, Isidro Buban
Ben, Raul Flores
Benalla, Dioscoro Benosa
Bersola, Jaime Gaboa
Blanco, Eduardo Estacio
Bolito, Carlos Sabio
Boreros, Hermogenes Pimentel
Bristol, Cesar Fernandez
Brugada, Willam Tagurita
Buan Sr., Salvador Del Rosario
Bugarin, Marcelino Alejandro
Bulario, David Paramio
Bundang, Susana Chua
Burgos, Ruben Tito
Cabañero, Estanislao Abando
Cabrera, Dale Sison
Cabujat, Eleuterio Dacpano
Calderon, Melvyn Punsalan
Caliques, Juanito Voyo
Callao, Rogelio Escovilla
Candolita, Alejandro Jaro
Carlos Jr., Sixto Sackermann
Casaway, Rolando Pusag
Castigador, Adlai Concepcion
Castillo, Arthur Ringor
Castro, Orlando Catacutan
Cayabyab, Mario Flores
Cayabyab, Melvin Mendez
Centenera, Carlos Luis Bosch
Clit, Filomino Villareal
Co, Salvador Gallegos
Cobing, Henry Delos Reyes
Cobrado, Anamargie Villarente
Corazon Jr., Lorenzo Samones
Corpuz, Myrna Ramos
Cruz, Manuel Reyes
Dacumos, Walterio Pamucino
Dagar, Rogelio Roxas
Dalisay, Felix Cruz
De Guzman, Gerry Puddoc
De Jesus, Rolando Martinez
De Jesus, Romeo Gonzales
Debuque, Simeon Pasamba
Del Prado, Romulo Bolano
Dela Cruz, Levy Balgos
Dela Fuente, Danilo Mallari
Diaz, Conrado Batoon
Dino, Elias Afundar
Dominado, Maria Luisa Posa
Domingo Jr., Nestorio Basindanan
Dultra, Misael Jamboy
Duran, Romeo Santiago
Embucado , Efren  Cantiller
Esguerra , Renato  Montemayor
Española, Josephen Solboan
Estojero, Edgardo Aguirre
Estrella, Isagani Fernandez
Evidente, Orlando Escanan
Fabella, Menito Villarin
Fabular, Analibie Villarente
Fenellere, Leopoldo  Elizalde
Firmanes , Salvacion  Gacias
Floranda, Modesto Toque
Florida Sr., Herminigildo Tampos
Forcadilla, Ernesto Alegria
Forcadilla, Josefina Hilao
Fresnido, Jaime Frades
Garcia, Alfonso Sunglao
Garcia, Teresita Panis
Gargarita, Eduardo Bautista
Gatillas, Rogelio Bernabe
Gatus, Joseph Rodriguez
Geronimo Jr., Eugenio Encarnacion
Geronimo, Cesar Encarnacion
Goc Ong, Cesar Soterol
Granil, Abraham Obedoza
Guidaben , Melona  Abreu
Guillermo, Reynaldo Miguel
Guray, Arturo Gosim
Herrera, Inocencio Ching
Hilao, Winfred Rapi
Hubilla, Antonio Conde
Ilarina, Nilo Rebello
Iniego Jr., Florentino Alabata
Jumagdao, Rogelio Llauder
Kitching, Jose Aransaso
Labajo, Jovito Camposano
Labarda, Santiago Perez
Labine , Virgilio Paclita
Labong, Alfredo Mabanan
Laigo, Edgar Melchor Peralta
Lazarte, Delfin Buan
Leyte, Edgar Labita
Librado, Erasto Ligo Nonoy
Limjoco, Philip Espiritu
Liongson, Antonio Coronel
Lluvido, Celso Sapero
Lola, Renato Paz
Lovely, Romeo Burns
Lua, Jose Dayap
Luneta, Romeo  Ebora
Mabanto, Alfredo Lamadora
Macaranas, Bonifacio Sison
Magdayao, Ronilo Amber
Maitom, Cresencia Beniga
Malicay, Gavina Jallores
Mallari, Rodolfo Macaspac
Manila, Oscar Paler
Manipulo, Crispulo  Delicana
Maniquiz Jr., Andres Sevilla
Marigza, Mary Lou Ofilas
Medina, Agapito Flores
Melencio, Cesar Sagaya
